FDA Handle,FDA Upload Date,Omeka Link,research,Confirmed/processed,Filename,File size,OCLC,Monograph/Serial,Type,Title (cyrillic) i͡e Ī ī Ẏ Ḟ ѣ,Title (romanized) ĭ  ë  i͡a  I͡A  ė  Ė  t͡s,Title (controlled)  T͡S  I͡U i͡u,Author (romanized),Author (cyrillic),Author's date of death,Place of publication (Cyrillic),Place of publication (romanized),Publisher (Cyrillic),Publishers (romanized),DCAA publisher number,Date,# of pages,Series (cyrillic),Series (romanized),Series/Serial numbering,Geographic region,Subject,Summary,Online version,Rights information,Notes,Additional Author 1,Additional Author 2,Additional Author 3,Additional Author 4,Series 2,Series 3,Language,Geospatial Data
http://hdl.handle.net/2451/42461,8/17/18,,in,present,isawdca_000108.pdf,22.7 MB,85116177,monograph,book,Города Южного Согда в VIII-XII вв.,Goroda I︠U︡zhnogo Sogda v VIII-XII vv.,Goroda I︠U︡zhnogo Sogda v VIII-XII vv.,"Lunina, S. B. (Svetlana Borisovna)","Лунина, С.Б.",1932-,Ташкент,Tashkent,"Изд-во ""Фан"" Узбекской ССР","Izd-vo ""Fan"" Uzbekskoĭ SSR",6,1984,150,,,,Uzbekistan,Excavations (Archaeology)--Uzbekistan--Qashqadare oblasti. Qashqadare oblasti (Uzbekistan)--Antiquities.,,"LIMITED VIEW, http://hdl.handle.net/2027/inu.39000001112262","The material on this site may be covered under copyright law. We are making such material available on a noncommercial basis for research and educational purposes. If you wish to use copyrighted material from this site for purposes beyond those in accordance with fair use or other relevant copyright exceptions, you must obtain permission from the copyright owner.",,"Pugachenkova, Galina Anatolʹevna.",,,,,,Russian,
http://hdl.handle.net/2451/42462,8/17/18,,in,present,isawdca_000109.pdf,135 MB,21330212,monograph,book,Городище Пайкенд (к проблеме ... ср.-век. города Ср. Азии),Gorodishche Paĭkend : k probleme izuchenii︠a︡ srednevekovogo goroda Sredneĭ Azii,Gorodishche Paĭkend : k probleme izuchenii︠a︡ srednevekovogo goroda Sredneĭ Azii,"Mukhamedzhanov, A. R. (Abdullakhad Rakhimdzhanovich)","Мухамеджанов, А.Р.",1932-2016,Ташкент,Tashkent,"Изд-во ""Фан"" Узбекской ССР","Izd-vo ""Fan"" Uzbekskoĭ SSR",6,1988,202,,,,Uzbekistan,Excavations (Archaeology)--Uzbekistan--Paĭkend (Extinct city). Paĭkend (Extinct city).,,,"The material on this site may be covered under copyright law. We are making such material available on a noncommercial basis for research and educational purposes. If you wish to use copyrighted material from this site for purposes beyond those in accordance with fair use or other relevant copyright exceptions, you must obtain permission from the copyright owner.",,"Askarov, A. A. (Akhmadali Askarovich)",,,,,,Russian,
http://hdl.handle.net/2451/42463,8/17/18,,in,present,isawdca_000110.pdf,30.7 MB,26071654,monograph,book,Граффити на восточных монетах,Graffiti na vostochnykh monetakh : drevni︠a︡i︠a︡ Rusʹ i sopredelʹnye strany,,Dobrovolʹskiĭ I. G.,"Добровольский, И.Г.",?,Ленинград,Leningrad,Изд-во Ленинградского уни-та,Izd-vo Leningradskogo uni-ta,40,1991,189,,,,,"Coins, Oriental -- Russia. Coins, Oriental -- Europe. Coins -- Oriental.",,"LIMITED VIEW, http://hdl.handle.net/2027/mdp.39015058959712","The material on this site may be covered under copyright law. We are making such material available on a noncommercial basis for research and educational purposes. If you wish to use copyrighted material from this site for purposes beyond those in accordance with fair use or other relevant copyright exceptions, you must obtain permission from the copyright owner.",,"Dubov, I.V.","Kuz'menko, I͡U.K.",,,,,Russian,
http://hdl.handle.net/2451/42464,8/17/18,,in,present,isawdca_000111.pdf,50.5 MB,6378088,monograph,book,Дальверзинтепе - кушанский город на юге Узбекистана,"Dalʹverzintepe, Kushanskiĭ gorod na i︠u︡ge Uzbekistana","Dalʹverzintepe, Kushanskiĭ gorod na i︠u︡ge Uzbekistana","Pugachenkova, Galina Anatolʹevna","Пугаченкова, Г.А. Ртвеладзе, Э.В.",1915-2007,Ташкент,Tashkent,"Изд-во ""Фан"" Узбекской ССР","Izd-vo ""Fan"" Uzbekskoĭ SSR",6,1978,250,,,,Uzbekistan,"Dal'verzin-tepe site, Uzbekistan",,"LIMITED VIEW, http://hdl.handle.net/2027/inu.39000002152812","The material on this site may be covered under copyright law. We are making such material available on a noncommercial basis for research and educational purposes. If you wish to use copyrighted material from this site for purposes beyond those in accordance with fair use or other relevant copyright exceptions, you must obtain permission from the copyright owner.",,"Rtveladze, É. V.",,,,,,Russian,
http://hdl.handle.net/2451/42451,8/17/18,,in,present,isawdca_000114.pdf,115 MB,68139430,monograph,book,Дорогами легенд,Dorogami legend,Dorogami legend,"Khalaminskiĭ, I︠U︡riĭ, 1923-1975.","Халаминский, Ю.",1923-1975,Москва,Moskva,"""Советский художник""","""Sovet︠s︡kiĭ khudozhnik""",7,1967,274,,,,Central Asia,"Asia, Central--Description and travel",,"LIMITED VIEW, http://hdl.handle.net/2027/mdp.39015005359826","The material on this site may be covered under copyright law. We are making such material available on a noncommercial basis for research and educational purposes. If you wish to use copyrighted material from this site for purposes beyond those in accordance with fair use or other relevant copyright exceptions, you must obtain permission from the copyright owner.",,,,,,,,Russian,
http://hdl.handle.net/2451/42452,8/17/18,,in,present,isawdca_000116.pdf,75.7 MB,749261681,monograph,book,Древнеземледельческая культура Ферганы,Drevnezemledel'cheskai͡a kul'tura Fergany.,,"Zadneprovskiĭ, I͡Uriĭ Aleksandrovich","Заднепровский, Ю.А.",1924-1999,Москва-Ленинград,Moskva-Leningrad,Изд-во Академии наук СССР,Izd-vo Akademii nauk SSSR,12,1962,332,Материалы и исследования по археологии СССР,Materialy i issledovanii͡a po arheologii SSSR,118,,Excavations (Archaeology) -- Fergana Valley. Fergana Valley -- Antiquities. Antiquities.,,,"The material on this site may be covered under copyright law. We are making such material available on a noncommercial basis for research and educational purposes. If you wish to use copyrighted material from this site for purposes beyond those in accordance with fair use or other relevant copyright exceptions, you must obtain permission from the copyright owner.",,,,,,,,Russian,
http://hdl.handle.net/2451/42453,8/17/18,,in,present,isawdca_000117.pdf,33.1 MB,38087858,monograph,book,Древние города в долине Кашкадарьи,Drevnie goroda v doline Kashkadarʹi,,"Lunina, S. B. (Svetlana Borisovna)","Лунина, С.Б.",1932-,Ташкент,Tashkent,"""Узбекистан""","""Uzbekistan""",55,1988,68,,,,Uzbekistan,Qashqarerë oblasti (Uzbekistan) -- Antiquities. Excavations (Archaeology) -- Uzbekistan -- Qashqadarë oblasti. Antiquities.,,,"The material on this site may be covered under copyright law. We are making such material available on a noncommercial basis for research and educational purposes. If you wish to use copyrighted material from this site for purposes beyond those in accordance with fair use or other relevant copyright exceptions, you must obtain permission from the copyright owner.",,,,,,,,Russian,
http://hdl.handle.net/2451/42454,8/17/18,,in,present,isawdca_000119.pdf,37.3 MB,30898619,monograph,book,Древние монеты Поволжья,Drevnie monety Povolzhʹi︠a︡,,"Mukhamadiev, A.G. (Azgar Gataullovich).","Мухамадиев, А.Г.",1933-,Казань,Kazan',Татарское книжное изд-во,Tatarskoe knizhnoe izd-vo,42,1990,157,,,,Volga River Valley,Coinage -- Russia (Federation) -- Volga River Valley -- History. Money -- Russia (Federation) -- Volga River Valley -- History. Coinage.,,"LIMITED VIEW, http://hdl.handle.net/2027/uc1.b3981751","The material on this site may be covered under copyright law. We are making such material available on a noncommercial basis for research and educational purposes. If you wish to use copyrighted material from this site for purposes beyond those in accordance with fair use or other relevant copyright exceptions, you must obtain permission from the copyright owner.",,,,,,,,Russian,
http://hdl.handle.net/2451/42455,8/17/18,,in,present,isawdca_000120.pdf,85.0 MB,84183876,monograph,book,Древние монеты Таджикистана,Drevnie monety Tadzhikistana,Drevnie monety Tadzhikistana,"Zeĭmalʹ, E. V. (Evgeniĭ Vladislavovich)","Зеймаль, Е.В.",1932-,Душанбе,Dushanbe,"Изд-во ""Дониш""","Izd-vo ""Donish""",4,1983,338,,,,Tajikistan,"Coins, Ancient--Tajikistan",,"LIMITED VIEW, http://hdl.handle.net/2027/mdp.39015049889325","The material on this site may be covered under copyright law. We are making such material available on a noncommercial basis for research and educational purposes. If you wish to use copyrighted material from this site for purposes beyond those in accordance with fair use or other relevant copyright exceptions, you must obtain permission from the copyright owner.",,"Davidovich, E. A.",,,,,,Russian,
http://hdl.handle.net/2451/42456,8/17/18,,in,present,isawdca_000121.pdf,6.26 MB,73351034,monograph,book,Древний Самарканд в известиях античных авторов (отрывки и комментарии),Drevniĭ Samarkand (Marakandy) v izvestii︠a︡kh antichnykh avtorov,Drevniĭ Samarkand (Marakandy) v izvestii︠a︡kh antichnykh avtorov,"Pʹi︠a︡nkov, I. V. (Igorʹ Vasilʹevich)","Пьянков, И.В.",1936-,Душанбе,Dushanbe,"Изд-во ""Дониш""","Izd-vo ""Donish""",4,1972,32,,,,Uzbekistan,Samarqand (Uzbekistan)--History--Sources.,,,"The material on this site may be covered under copyright law. We are making such material available on a noncommercial basis for research and educational purposes. If you wish to use copyrighted material from this site for purposes beyond those in accordance with fair use or other relevant copyright exceptions, you must obtain permission from the copyright owner.","From folder Disk16 new, hard to read copy",,,,,,,Russian,
http://hdl.handle.net/2451/42465,8/17/18,,in,present,isawdca_000122.pdf,98.4 MB,24449875,monograph,book,Древности Мианкаля (из работ УзИскЭ),Drevnosti Miankali︠a︡ : iz rabot Uzbekistanskoĭ iskusstvovedcheskoĭ ėkspedit︠s︡ii,Drevnosti Miankali︠a︡ : iz rabot Uzbekistanskoĭ iskusstvovedcheskoĭ ėkspedit︠s︡ii,"Pugachenkova, Galina Anatolʹevna.","Пугаченкова, Г.А.",1915-2007,Ташкент,Tashkent,"Изд-во ""Фан"" Узбекской ССР","Izd-vo ""Fan"" Uzbekskoĭ SSR",6,1989,205,Поиски и открытия,Poiski i otkrytii︠a︡,,Uzbekistan,Excavations (Archaeology)--Uzbekistan--Samarqand oblasti. Sogdians. Samarqand oblasti (Uzbekistan)--Antiquities.,,"LIMITED VIEW, http://hdl.handle.net/2027/uc1.b3624658","The material on this site may be covered under copyright law. We are making such material available on a noncommercial basis for research and educational purposes. If you wish to use copyrighted material from this site for purposes beyond those in accordance with fair use or other relevant copyright exceptions, you must obtain permission from the copyright owner.",,,,,,,,Russian,
http://hdl.handle.net/2451/42471,8/17/18,,in,present,isawdca_000129.pdf,42.2 MB,1568117,serial,serial,"Эпиграфика Востока/Ленинградское отделение института истории материальной культуры имени академика Н.Я. Марра, сектор Средней Азии.","Ėpigrafika Vostoka / Akademii︠a︡ nauk Soi︠u︡za SSR, Leningradskoe otdelenie Instituta istorii materialʹnoĭ kulʹtury imeni akademika N. I︠A︡. Marra, Sektor Sredneĭ Azii.","Ėpigrafika Vostoka / Akademii︠a︡ nauk Soi︠u︡za SSR, Leningradskoe otdelenie Instituta istorii materialʹnoĭ kulʹtury imeni akademika N. I︠A︡. Marra, Sektor Sredneĭ Azii.",,,,Москва-Ленинград,Moskva-Leningrad,"Изд-во ""Наука"", Ленинградское отд-ние","Izd-vo ""Nauka"" Leningradskoe otd-ie",13,1963,161,,,16,,"Inscriptions, Oriental.",Value: 3. Most issues have at least 1 or more articles that have to do with Central Asian archaeology.,"LIMITED VIEW, https://catalog.hathitrust.org/api/volumes/oclc/1568117.html","The material on this site may be covered under copyright law. We are making such material available on a noncommercial basis for research and educational purposes. If you wish to use copyrighted material from this site for purposes beyond those in accordance with fair use or other relevant copyright exceptions, you must obtain permission from the copyright owner.",,,,,,,,Russian,
http://hdl.handle.net/2451/42472,8/17/18,,in,present,isawdca_000130.pdf,30.0 MB,1568117,serial,serial,"Эпиграфика Востока/Ленинградское отделение института истории материальной культуры имени академика Н.Я. Марра, сектор Средней Азии.","Ėpigrafika Vostoka / Akademii︠a︡ nauk Soi︠u︡za SSR, Leningradskoe otdelenie Instituta istorii materialʹnoĭ kulʹtury imeni akademika N. I︠A︡. Marra, Sektor Sredneĭ Azii.","Ėpigrafika Vostoka / Akademii︠a︡ nauk Soi︠u︡za SSR, Leningradskoe otdelenie Instituta istorii materialʹnoĭ kulʹtury imeni akademika N. I︠A︡. Marra, Sektor Sredneĭ Azii.",,,,Москва-Ленинград,Moskva-Leningrad,"Изд-во ""Наука"", Ленинградское отд-ние","Izd-vo ""Nauka"" Leningradskoe otd-ie",13,1966,145,,,17,,"Inscriptions, Oriental.",Value: 3. Most issues have at least 1 or more articles that have to do with Central Asian archaeology.,"LIMITED VIEW, https://catalog.hathitrust.org/api/volumes/oclc/1568117.html","The material on this site may be covered under copyright law. We are making such material available on a noncommercial basis for research and educational purposes. If you wish to use copyrighted material from this site for purposes beyond those in accordance with fair use or other relevant copyright exceptions, you must obtain permission from the copyright owner.",,,,,,,,Russian,
http://hdl.handle.net/2451/42473,8/17/18,,in,present,isawdca_000131.pdf,3.38 MB,1568117,serial,serial,"Эпиграфика Востока/Ленинградское отделение института истории материальной культуры имени академика Н.Я. Марра, сектор Средней Азии.","Ėpigrafika Vostoka / Akademii︠a︡ nauk Soi︠u︡za SSR, Leningradskoe otdelenie Instituta istorii materialʹnoĭ kulʹtury imeni akademika N. I︠A︡. Marra, Sektor Sredneĭ Azii.","Ėpigrafika Vostoka / Akademii︠a︡ nauk Soi︠u︡za SSR, Leningradskoe otdelenie Instituta istorii materialʹnoĭ kulʹtury imeni akademika N. I︠A︡. Marra, Sektor Sredneĭ Azii.",,,,Москва-Ленинград,Moskva-Leningrad,"Изд-во ""Наука"", Ленинградское отд-ние","Izd-vo ""Nauka"" Leningradskoe otd-ie",13,1969,,,,19,,"Inscriptions, Oriental.",Value: 3. Most issues have at least 1 or more articles that have to do with Central Asian archaeology.,"LIMITED VIEW, https://catalog.hathitrust.org/api/volumes/oclc/1568117.html","The material on this site may be covered under copyright law. We are making such material available on a noncommercial basis for research and educational purposes. If you wish to use copyrighted material from this site for purposes beyond those in accordance with fair use or other relevant copyright exceptions, you must obtain permission from the copyright owner.",,,,,,,,Russian,
http://hdl.handle.net/2451/42474,8/17/18,,in,present,isawdca_000132.pdf,30.0 MB,1568117,serial,serial,"Эпиграфика Востока/Ленинградское отделение института истории материальной культуры имени академика Н.Я. Марра, сектор Средней Азии.","Ėpigrafika Vostoka / Akademii︠a︡ nauk Soi︠u︡za SSR, Leningradskoe otdelenie Instituta istorii materialʹnoĭ kulʹtury imeni akademika N. I︠A︡. Marra, Sektor Sredneĭ Azii.","Ėpigrafika Vostoka / Akademii︠a︡ nauk Soi︠u︡za SSR, Leningradskoe otdelenie Instituta istorii materialʹnoĭ kulʹtury imeni akademika N. I︠A︡. Marra, Sektor Sredneĭ Azii.",,,,Москва-Ленинград,Moskva-Leningrad,"Изд-во ""Наука"", Ленинградское отд-ние","Izd-vo ""Nauka"" Leningradskoe otd-ie",13,1972,98,,,21,,"Inscriptions, Oriental.",Value: 3. Most issues have at least 1 or more articles that have to do with Central Asian archaeology.,"LIMITED VIEW, https://catalog.hathitrust.org/api/volumes/oclc/1568117.html","The material on this site may be covered under copyright law. We are making such material available on a noncommercial basis for research and educational purposes. If you wish to use copyrighted material from this site for purposes beyond those in accordance with fair use or other relevant copyright exceptions, you must obtain permission from the copyright owner.",,,,,,,,Russian,
http://hdl.handle.net/2451/42475,8/17/18,,in,present,isawdca_000133.pdf,29.6 MB,1568117,serial,serial,"Эпиграфика Востока/Ленинградское отделение института истории материальной культуры имени академика Н.Я. Марра, сектор Средней Азии.","Ėpigrafika Vostoka / Akademii︠a︡ nauk Soi︠u︡za SSR, Leningradskoe otdelenie Instituta istorii materialʹnoĭ kulʹtury imeni akademika N. I︠A︡. Marra, Sektor Sredneĭ Azii.","Ėpigrafika Vostoka / Akademii︠a︡ nauk Soi︠u︡za SSR, Leningradskoe otdelenie Instituta istorii materialʹnoĭ kulʹtury imeni akademika N. I︠A︡. Marra, Sektor Sredneĭ Azii.",,,,Москва-Ленинград,Moskva-Leningrad,"Изд-во ""Наука"", Ленинградское отд-ние","Izd-vo ""Nauka"" Leningradskoe otd-ie",13,1984,89,,,22,,"Inscriptions, Oriental.",Value: 3. Most issues have at least 1 or more articles that have to do with Central Asian archaeology.,"LIMITED VIEW, https://catalog.hathitrust.org/api/volumes/oclc/1568117.html","The material on this site may be covered under copyright law. We are making such material available on a noncommercial basis for research and educational purposes. If you wish to use copyrighted material from this site for purposes beyond those in accordance with fair use or other relevant copyright exceptions, you must obtain permission from the copyright owner.",,,,,,,,Russian,
http://hdl.handle.net/2451/42476,8/17/18,,in,present,isawdca_000134.pdf,38.6 MB,1568117,serial,serial,"Эпиграфика Востока/Ленинградское отделение института истории материальной культуры имени академика Н.Я. Марра, сектор Средней Азии.","Ėpigrafika Vostoka / Akademii︠a︡ nauk Soi︠u︡za SSR, Leningradskoe otdelenie Instituta istorii materialʹnoĭ kulʹtury imeni akademika N. I︠A︡. Marra, Sektor Sredneĭ Azii.","Ėpigrafika Vostoka / Akademii︠a︡ nauk Soi︠u︡za SSR, Leningradskoe otdelenie Instituta istorii materialʹnoĭ kulʹtury imeni akademika N. I︠A︡. Marra, Sektor Sredneĭ Azii.",,,,Москва-Ленинград,Moskva-Leningrad,"Изд-во ""Наука"", Ленинградское отд-ние","Izd-vo ""Nauka"" Leningradskoe otd-ie",13,1985,119,,,23,,"Inscriptions, Oriental.",Value: 3. Most issues have at least 1 or more articles that have to do with Central Asian archaeology.,"LIMITED VIEW, https://catalog.hathitrust.org/api/volumes/oclc/1568117.html","The material on this site may be covered under copyright law. We are making such material available on a noncommercial basis for research and educational purposes. If you wish to use copyrighted material from this site for purposes beyond those in accordance with fair use or other relevant copyright exceptions, you must obtain permission from the copyright owner.",,,,,,,,Russian,
http://hdl.handle.net/2451/42477,8/17/18,,in,present,isawdca_000135.pdf,45.7 MB,1568117,serial,serial,"Эпиграфика Востока/Ленинградское отделение института истории материальной культуры имени академика Н.Я. Марра, сектор Средней Азии.","Ėpigrafika Vostoka / Akademii︠a︡ nauk Soi︠u︡za SSR, Leningradskoe otdelenie Instituta istorii materialʹnoĭ kulʹtury imeni akademika N. I︠A︡. Marra, Sektor Sredneĭ Azii.","Ėpigrafika Vostoka / Akademii︠a︡ nauk Soi︠u︡za SSR, Leningradskoe otdelenie Instituta istorii materialʹnoĭ kulʹtury imeni akademika N. I︠A︡. Marra, Sektor Sredneĭ Azii.",,,,Москва-Ленинград,Moskva-Leningrad,"Изд-во ""Наука"", Ленинградское отд-ние","Izd-vo ""Nauka"" Leningradskoe otd-ie",13,1988,138,,,24,,"Inscriptions, Oriental.",Value: 3. Most issues have at least 1 or more articles that have to do with Central Asian archaeology.,"LIMITED VIEW, https://catalog.hathitrust.org/api/volumes/oclc/1568117.html","The material on this site may be covered under copyright law. We are making such material available on a noncommercial basis for research and educational purposes. If you wish to use copyrighted material from this site for purposes beyond those in accordance with fair use or other relevant copyright exceptions, you must obtain permission from the copyright owner.",,,,,,,,Russian,
http://hdl.handle.net/2451/42478,8/17/18,,in,present,isawdca_000136.pdf,53.8 MB,1568117,serial,serial,"Эпиграфика Востока/Ленинградское отделение института истории материальной культуры имени академика Н.Я. Марра, сектор Средней Азии.","Ėpigrafika Vostoka / Akademii︠a︡ nauk Soi︠u︡za SSR, Leningradskoe otdelenie Instituta istorii materialʹnoĭ kulʹtury imeni akademika N. I︠A︡. Marra, Sektor Sredneĭ Azii.","Ėpigrafika Vostoka / Akademii︠a︡ nauk Soi︠u︡za SSR, Leningradskoe otdelenie Instituta istorii materialʹnoĭ kulʹtury imeni akademika N. I︠A︡. Marra, Sektor Sredneĭ Azii.",,,,Москва-Ленинград,Moskva-Leningrad,Институт востоковедения РАН,Institut Vostokovedenii︠a︡ RAN,13,2001,183,,,26,,"Inscriptions, Oriental.",Value: 3. Most issues have at least 1 or more articles that have to do with Central Asian archaeology.,"LIMITED VIEW, https://catalog.hathitrust.org/api/volumes/oclc/1568117.html","The material on this site may be covered under copyright law. We are making such material available on a noncommercial basis for research and educational purposes. If you wish to use copyrighted material from this site for purposes beyond those in accordance with fair use or other relevant copyright exceptions, you must obtain permission from the copyright owner.",,,,,,,,Russian,
http://hdl.handle.net/2451/42466,8/17/18,,in,present,isawdca_000146.pdf,136 MB,42315119,serial,serial,Труды Южно-Туркменистанской археологической комплексной экспедиции,Trudy I︠U︡zhno-Turkmenistanskoĭ arkheologicheskoĭ kompleksnoĭ ėkspedit︠s︡ii.,Trudy I︠U︡zhno-Turkmenistanskoĭ arkheologicheskoĭ kompleksnoĭ ėkspedit︠s︡ii.,,,,Ашхабад,Ashkhabad,Изд-во Академии наук Туркменской ССР,Izd-vo Akademii nauk Turkmenskoĭ SSR,46,1963,382,,,XII,Turkmenistan,Turkmenistan--Antiquities.,"Value: 5. Some of the volumes are less valuable than others. However, a lot of the volumes contain prime archaeological material.","LIMITED VIEW, http://hdl.handle.net/2027/inu.30000077975146","The material on this site may be covered under copyright law. We are making such material available on a noncommercial basis for research and educational purposes. If you wish to use copyrighted material from this site for purposes beyond those in accordance with fair use or other relevant copyright exceptions, you must obtain permission from the copyright owner.",,,,,,,,Russian,
http://hdl.handle.net/2451/42467,8/17/18,,in,present,isawdca_000147.pdf,68.4 MB,42315119,serial,serial,Труды Южно-Туркменистанской археологической комплексной экспедиции,Trudy I︠U︡zhno-Turkmenistanskoĭ arkheologicheskoĭ kompleksnoĭ ėkspedit︠s︡ii.,Trudy I︠U︡zhno-Turkmenistanskoĭ arkheologicheskoĭ kompleksnoĭ ėkspedit︠s︡ii.,,,,Ашхабад,Ashkhabad,"Изд-во ""Ылым""","Izd-vo ""Ylym""",46,1969,289,,,XIV,Turkmenistan,Turkmenistan--Antiquities.,"Value: 5. Some of the volumes are less valuable than others. However, a lot of the volumes contain prime archaeological material.","LIMITED VIEW, http://hdl.handle.net/2027/inu.30000077975146","The material on this site may be covered under copyright law. We are making such material available on a noncommercial basis for research and educational purposes. If you wish to use copyrighted material from this site for purposes beyond those in accordance with fair use or other relevant copyright exceptions, you must obtain permission from the copyright owner.",,,,,,,,Russian,
http://hdl.handle.net/2451/42468,8/17/18,,in,present,isawdca_000148.pdf,69.7 MB,42315119,serial,serial,Труды Южно-Туркменистанской археологической комплексной экспедиции,Trudy I︠U︡zhno-Turkmenistanskoĭ arkheologicheskoĭ kompleksnoĭ ėkspedit︠s︡ii.,Trudy I︠U︡zhno-Turkmenistanskoĭ arkheologicheskoĭ kompleksnoĭ ėkspedit︠s︡ii.,,,,Ашхабад,Ashkhabad,"Изд-во ""Ылым""","Izd-vo ""Ylym""",46,1974,315,,,XV,Turkmenistan,Turkmenistan--Antiquities.,"Value: 5. Some of the volumes are less valuable than others. However, a lot of the volumes contain prime archaeological material.","LIMITED VIEW, http://hdl.handle.net/2027/inu.30000077975146","The material on this site may be covered under copyright law. We are making such material available on a noncommercial basis for research and educational purposes. If you wish to use copyrighted material from this site for purposes beyond those in accordance with fair use or other relevant copyright exceptions, you must obtain permission from the copyright owner.",,,,,,,,Russian,
http://hdl.handle.net/2451/42469,8/17/18,,in,present,isawdca_000149.pdf,49.8 MB,42315119,serial,serial,Труды Южно-Туркменистанской археологической комплексной экспедиции,Trudy I︠U︡zhno-Turkmenistanskoĭ arkheologicheskoĭ kompleksnoĭ ėkspedit︠s︡ii.,Trudy I︠U︡zhno-Turkmenistanskoĭ arkheologicheskoĭ kompleksnoĭ ėkspedit︠s︡ii.,,,,Ашхабад,Ashkhabad,"Изд-во ""Ылым""","Izd-vo ""Ylym""",46,1978,195,,,XVI,Turkmenistan,Turkmenistan--Antiquities.,"Value: 5. Some of the volumes are less valuable than others. However, a lot of the volumes contain prime archaeological material.","LIMITED VIEW, http://hdl.handle.net/2027/inu.30000077975146","The material on this site may be covered under copyright law. We are making such material available on a noncommercial basis for research and educational purposes. If you wish to use copyrighted material from this site for purposes beyond those in accordance with fair use or other relevant copyright exceptions, you must obtain permission from the copyright owner.",,,,,,,,Russian,
http://hdl.handle.net/2451/42470,8/17/18,,in,present,isawdca_000150.pdf,43.3 MB,42315119,serial,serial,Труды Южно-Туркменистанской археологической комплексной экспедиции,Trudy I︠U︡zhno-Turkmenistanskoĭ arkheologicheskoĭ kompleksnoĭ ėkspedit︠s︡ii.,Trudy I︠U︡zhno-Turkmenistanskoĭ arkheologicheskoĭ kompleksnoĭ ėkspedit︠s︡ii.,,,,Ленинград,Leningrad,"Изд-во ""Наука"", Ленинградское отд-ние","""Nauka"" Leningradskoe otd-nie",46,1981,181,,,XVIII,Turkmenistan,Turkmenistan--Antiquities.,"Value: 5. Some of the volumes are less valuable than others. However, a lot of the volumes contain prime archaeological material.","LIMITED VIEW, http://hdl.handle.net/2027/inu.30000077975146","The material on this site may be covered under copyright law. We are making such material available on a noncommercial basis for research and educational purposes. If you wish to use copyrighted material from this site for purposes beyond those in accordance with fair use or other relevant copyright exceptions, you must obtain permission from the copyright owner.",,,,,,,,Russian,
http://hdl.handle.net/2451/42602,8/23/18,,in,present,isawdca_000154.pdf,7.82 MB,72307254,serial,serial,Материалы Южно-Туркменистанской археологической комплексной экспедиции,Materialy I︠U︡zhno-Turkmenistanskoĭ arkheologicheskoĭ kompleksnoĭ ėkspedit︠s︡ii,,,,,Ашхабад,Ashkhabad,"Издательство ""Ылым""","Izdatel'stvo ""Ylym""",46,1970,43,Материалы Южно-Туркменистанской археологической комплексной экспедиции,Materialy I︠U︡zhno-Turkmenistanskoĭ arkheologicheskoĭ kompleksnoĭ ėkspedit︠s︡ii,3,Turkmenistan,Turkmenistan--Antiquities,,,"The material on this site may be covered under copyright law. We are making such material available on a noncommercial basis for research and educational purposes. If you wish to use copyrighted material from this site for purposes beyond those in accordance with fair use or other relevant copyright exceptions, you must obtain permission from the copyright owner.","Materials of the South Tadjikistan Archaeological Joint Expedition, issue 3",,,,,,,Russian,
http://hdl.handle.net/2451/42613,8/23/18,,in,present,isawdca_000161.pdf,89.4 MB,493076967,serial,serial,Собрание восточных рукописей Академии наук Узбекской ССР.,Sobranie vostochnyh rukopiseĭ Akademii nauk Uzbekskoĭ SSR.,Sobranie vostochnykh rukopiseĭ Akademii nauk Uzbekskoĭ SSR,"Semenov, A. A. (Aleksandr Aleksandrovich), 1873-1958.","Семенов, А.А.",1873-1958,Ташкент,Tashkent,Изд-во Академии наук Узбекской ССР,Izd-vo Akademii nauk Uzbekskoĭ SSR,6,1960,546,Собрание восточных рукописей Академии наук Узбекской ССР.,Sobranie vostochnyh rukopiseĭ Akademii nauk Uzbekskoĭ SSR.,5,Uzbekistan,Sharqshunoslik instituti (Ŭzbekiston SSR fanlar akademii︠a︡si)--Archives--Catalogs. Manuscripts. Oriental--Uzbekistan--Tashkent--Catalogs,Value: 2. Most of the material is late.,"NO BOOK, https://books.google.com/books?id=c62xsPgpUp0C","The material on this site may be covered under copyright law. We are making such material available on a noncommercial basis for research and educational purposes. If you wish to use copyrighted material from this site for purposes beyond those in accordance with fair use or other relevant copyright exceptions, you must obtain permission from the copyright owner.",,,,,,,,Russian,
